No,Penalty Calculation Strategy,Penalty Selection Strategy,Penalty TieBreaker Strategy,Cell Selection Strategy,Cell TieBreaker Strategy,Akurasi (Normal)
1504,Two Min,Min Penalty,Max Total Cost,MinSC,Max Supply Demand Mult,0
1505,Two Min,Min Penalty,Max Total Cost,MinSC,Min Cost Allocation,0
1506,Two Min,Max Penalty,Max Total Cost,MinSC,Min Supply Demand Mult,0
1507,Two Min,Min Penalty,Max Total Cost,MinSC,Min Allocation,0
1508,Two Min,Min Penalty,Max Total Cost,MinSC,Max Allocation,0
1509,Two Min,Min Penalty,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1510,Two Min,Min Penalty,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1511,Two Min,Min Penalty,Max Total Cost,MinSC,Min Supply and Demand,0
1512,Two Min,Min Penalty,Max Total Cost,MinSC,Max Supply and Demand,0
1513,Two Min,Min Penalty,Max Total Cost,MinSC,Min Demand,0
1514,Two Min,Min Penalty,Max Total Cost,MinSC,Max Demand,0
1515,Min Max,Two Max,All Penalties,MaxSC,Max Demand,0
1516,Min Max,Two Max,All Penalties,MaxSC,Max Cost Allocation,0
1517,Min Max,Two Max,All Penalties,MaxSC,Min Allocation,0
1518,Min Max,Two Max,All Penalties,MaxSC,Max Allocation,0
1519,Min Max,Two Max,All Penalties,MaxSC,Min Top-Bottom Sum,0
1520,Min Max,Two Max,All Penalties,MaxSC,Max Top-Bottom Sum,0
1521,Min Max,Two Max,All Penalties,MaxSC,Min Supply and Demand,0
1522,Min Max,Two Max,All Penalties,MaxSC,Max Supply and Demand,0
1523,Min Max,Two Max,All Penalties,MaxSC,Min Demand,0
1524,Min Max,Two Max,All Penalties,MaxSC,Min Cost Allocation,0
1525,Min Max,Two Max,All Penalties,MaxSC,Min Supply,0
1526,Min Max,Two Max,All Penalties,MaxSC,Max Supply,0
1527,Min Max,Two Max,All Penalties,MaxSC,Index,0
1528,Min Max,Two Max,All Penalties,MinSC,Min Supply Demand Mult,0
1529,Min Max,Two Max,All Penalties,MinSC,Max Supply Demand Mult,0
1530,Min Max,Two Max,All Penalties,MinSC,Min Cost Allocation,0
1531,Min Max,Two Max,All Penalties,MinSC,Max Cost Allocation,0
1532,Min Max,Two Max,All Penalties,MinSC,Min Allocation,0
1533,Two Min,Max Penalty,Max Total Cost,MinSC,Max Supply and Demand,0
1534,Two Min,Max Penalty,Max Total Cost,MinSC,Max Supply Demand Mult,0
1535,Two Min,Max Penalty,Max Total Cost,MinSC,Min Cost Allocation,0
1536,Two Min,Max Penalty,Max Total Cost,MinSC,Max Cost Allocation,0
1537,Two Min,Max Penalty,Max Total Cost,MinSC,Min Allocation,0
1538,Two Min,Max Penalty,Max Total Cost,MinSC,Max Allocation,0
1539,Two Min,Max Penalty,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1540,Two Min,Max Penalty,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1541,Two Min,Max Penalty,Max Total Cost,MinSC,Min Supply and Demand,0
1542,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Supply and Demand,0
1543,Two Min,Max Penalty,Max Total Cost,MinSC,Min Demand,0
1544,Two Min,Max Penalty,Max Total Cost,MinSC,Max Demand,0
1545,Two Min,Max Penalty,Max Total Cost,MinSC,Min Supply,0
1546,Two Min,Max Penalty,Max Total Cost,MinSC,Max Supply,0
1547,Two Min,Max Penalty,Max Total Cost,MinSC,Index,0
1548,Min Max,Two Max,All Penalties,MaxSC,Min Supply Demand Mult,0
1549,Min Max,Two Max,All Penalties,MaxSC,Max Supply Demand Mult,0
1550,Two Max,Max Penalty,Max Total Cost,MinSC,Min Demand,0
1551,Two Max,Max Penalty,Max Total Cost,MinSC,Min Cost Allocation,0
1552,Two Max,Max Penalty,Max Total Cost,MinSC,Max Cost Allocation,0
1553,Two Max,Max Penalty,Max Total Cost,MinSC,Min Allocation,0
1554,Two Max,Max Penalty,Max Total Cost,MinSC,Max Allocation,0
1555,Two Max,Max Penalty,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1556,Two Max,Max Penalty,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1557,Two Max,Max Penalty,Max Total Cost,MinSC,Min Supply and Demand,0
1558,Two Max,Max Penalty,Max Total Cost,MinSC,Max Supply and Demand,0
1559,Two Max,Max Penalty,Max Total Cost,MinSC,Max Supply Demand Mult,0
1560,Two Max,Max Penalty,Max Total Cost,MinSC,Max Demand,0
1561,Two Max,Max Penalty,Max Total Cost,MinSC,Min Supply,0
1562,Two Max,Max Penalty,Max Total Cost,MinSC,Max Supply,0
1563,Two Max,Max Penalty,Max Total Cost,MinSC,Index,0
1564,Two Min,Two Max,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1565,Two Min,Two Max,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1566,Two Min,Two Max,Max Total Cost,MaxSC,Min Cost Allocation,0
1567,Two Min,Two Max,Max Total Cost,MaxSC,Max Cost Allocation,0
1568,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1569,Two Max,Min Penalty,Max Total Cost,MinSC,Index,0
1570,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1571,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1572,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Cost Allocation,0
1573,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Cost Allocation,0
1574,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Allocation,0
1575,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Allocation,0
1576,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1577,Two Min,Two Max,Max Total Cost,MaxSC,Min Allocation,0
1578,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Supply and Demand,0
1579,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Supply and Demand,0
1580,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Demand,0
1581,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Demand,0
1582,Two Max,Max Penalty,Max Total Cost,MaxSC,Min Supply,0
1583,Two Max,Max Penalty,Max Total Cost,MaxSC,Max Supply,0
1584,Two Max,Max Penalty,Max Total Cost,MaxSC,Index,0
1585,Two Max,Max Penalty,Max Total Cost,MinSC,Min Supply Demand Mult,0
1586,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Supply Demand Mult,0
1587,Two Min,Two Max,Max Total Cost,MinSC,Max Top-Bottom Sum,0
1588,Two Min,Two Max,Max Total Cost,MinSC,Min Supply and Demand,0
1589,Two Min,Two Max,Max Total Cost,MinSC,Max Supply and Demand,0
1590,Two Min,Two Max,Max Total Cost,MinSC,Min Demand,0
1591,Two Min,Two Max,Max Total Cost,MinSC,Max Demand,0
1592,Two Min,Two Max,Max Total Cost,MinSC,Min Supply,0
1593,Two Min,Two Max,Max Total Cost,MinSC,Max Supply,0
1594,Two Min,Two Max,Max Total Cost,MinSC,Index,0
1595,Two Min,Two Max,Max Total Cost,MinSC,Min Top-Bottom Sum,0
1596,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Supply Demand Mult,0
1597,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Cost Allocation,0
1598,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Cost Allocation,0
1599,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Allocation,0
1600,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Allocation,0
1601,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1602,Two Min,Min Penalty,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1603,Two Min,Min Penalty,Max Total Cost,MaxSC,Min Supply and Demand,0
1604,Two Min,Two Max,Max Total Cost,MaxSC,Max Supply,0
1605,Two Min,Two Max,Max Total Cost,MaxSC,Max Allocation,0
1606,Two Min,Two Max,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
1607,Two Min,Two Max,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
1608,Two Min,Two Max,Max Total Cost,MaxSC,Min Supply and Demand,0
1609,Two Min,Two Max,Max Total Cost,MaxSC,Max Supply and Demand,0
1610,Two Min,Two Max,Max Total Cost,MaxSC,Min Demand,0
1611,Two Min,Two Max,Max Total Cost,MaxSC,Max Demand,0
1612,Two Min,Two Max,Max Total Cost,MaxSC,Min Supply,0
1613,Min Max,Two Max,Max Total Cost,MinSC,Index,0
1614,Two Min,Two Max,Max Total Cost,MaxSC,Index,0
1615,Two Min,Two Max,Max Total Cost,MinSC,Min Supply Demand Mult,0
1616,Two Min,Two Max,Max Total Cost,MinSC,Max Supply Demand Mult,0
1617,Two Min,Two Max,Max Total Cost,MinSC,Min Cost Allocation,0
1618,Two Min,Two Max,Max Total Cost,MinSC,Max Cost Allocation,0
1619,Two Min,Two Max,Max Total Cost,MinSC,Min Allocation,0
1620,Two Min,Two Max,Max Total Cost,MinSC,Max Allocation,0
